               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,             0.03705,            0.054852,            0.026717,                   0,                   0,                   0,                   0,                   0,             0.02216,                   0,           0.0038939,           0.0038939,            0.033994
                 100,            0.038785,            0.056461,            0.024925,                   0,                   0,                   0,                   0,                   0,            0.020814,                   0,            0.003883,            0.003883,            0.033283
                 101,            0.037198,            0.057591,            0.027016,                   0,                   0,                   0,                   0,                   0,             0.02441,                   0,           0.0038711,           0.0038711,            0.032571
                 102,            0.038301,            0.056999,            0.027334,                   0,                   0,                   0,                   0,                   0,            0.028125,                   0,           0.0038582,           0.0038582,            0.031858
                 103,            0.034031,            0.052326,            0.024677,                   0,                   0,                   0,                   0,                   0,            0.031391,                   0,           0.0038444,           0.0038444,            0.031144
                 104,            0.032462,            0.053123,             0.02484,                   0,                   0,                   0,                   0,                   0,            0.021202,                   0,           0.0038296,           0.0038296,             0.03043
                 105,            0.040409,            0.057252,            0.026266,                   0,                   0,                   0,                   0,                   0,            0.017587,                   0,           0.0038139,           0.0038139,            0.029714
                 106,            0.035757,            0.053677,            0.024429,                   0,                   0,                   0,                   0,                   0,            0.024276,                   0,           0.0037972,           0.0037972,            0.028997
                 107,             0.03377,            0.056443,             0.02475,                   0,                   0,                   0,                   0,                   0,            0.021779,                   0,           0.0037797,           0.0037797,             0.02828
                 108,            0.038721,            0.053376,            0.025211,                   0,                   0,                   0,                   0,                   0,            0.010842,                   0,           0.0037612,           0.0037612,            0.027561
                 109,             0.03285,            0.054653,            0.024125,                   0,                   0,                   0,                   0,                   0,            0.023318,                   0,           0.0037419,           0.0037419,            0.026842
                 110,            0.033757,            0.050075,            0.023309,                   0,                   0,                   0,                   0,                   0,            0.023832,                   0,           0.0037217,           0.0037217,            0.026122
                 111,            0.035847,            0.050626,            0.023612,                   0,                   0,                   0,                   0,                   0,            0.015414,                   0,           0.0037007,           0.0037007,            0.025401
                 112,            0.036702,            0.054863,            0.024307,                   0,                   0,                   0,                   0,                   0,            0.020217,                   0,           0.0036789,           0.0036789,            0.024679
                 113,            0.037971,             0.05805,            0.022092,                   0,                   0,                   0,                   0,                   0,            0.021693,                   0,           0.0036562,           0.0036562,            0.023956
                 114,            0.035858,            0.052531,            0.023203,                   0,                   0,                   0,                   0,                   0,             0.02059,                   0,           0.0036328,           0.0036328,            0.023233
                 115,            0.032251,            0.054302,             0.02462,                   0,                   0,                   0,                   0,                   0,            0.020655,                   0,           0.0036085,           0.0036085,            0.022509
                 116,            0.030722,            0.048577,            0.023715,                   0,                   0,                   0,                   0,                   0,            0.031499,                   0,           0.0035836,           0.0035836,            0.021784
                 117,            0.035986,            0.053173,            0.021255,                   0,                   0,                   0,                   0,                   0,            0.027612,                   0,           0.0035579,           0.0035579,            0.021058
                 118,            0.034074,            0.055073,            0.021229,                   0,                   0,                   0,                   0,                   0,            0.036997,                   0,           0.0035315,           0.0035315,            0.020331
                 119,            0.037918,            0.054538,            0.021289,                   0,                   0,                   0,                   0,                   0,            0.029828,                   0,           0.0035044,           0.0035044,            0.019604
                 120,            0.039413,            0.053071,            0.020448,                   0,                   0,                   0,                   0,                   0,            0.031204,                   0,           0.0034766,           0.0034766,            0.018877
                 121,            0.037221,            0.048748,            0.021967,                   0,                   0,                   0,                   0,                   0,            0.026724,                   0,           0.0034481,           0.0034481,            0.018148
                 122,            0.035142,            0.050793,            0.022655,                   0,                   0,                   0,                   0,                   0,            0.026612,                   0,           0.0034191,           0.0034191,            0.017419
                 123,            0.037697,            0.051416,            0.022102,                   0,                   0,                   0,                   0,                   0,            0.026928,                   0,           0.0033894,           0.0033894,            0.016689
                 124,            0.037935,            0.055134,             0.02128,                   0,                   0,                   0,                   0,                   0,            0.027271,                   0,           0.0033592,           0.0033592,            0.015959
                 125,            0.035056,            0.052733,            0.020725,                   0,                   0,                   0,                   0,                   0,            0.026552,                   0,           0.0033284,           0.0033284,            0.015228
                 126,            0.033672,            0.052437,            0.020113,                   0,                   0,                   0,                   0,                   0,            0.027287,                   0,            0.003297,            0.003297,            0.014497
                 127,            0.040391,            0.057688,            0.021023,                   0,                   0,                   0,                   0,                   0,            0.020438,                   0,           0.0032651,           0.0032651,            0.013765
                 128,            0.031861,             0.04875,            0.019554,                   0,                   0,                   0,                   0,                   0,             0.02834,                   0,           0.0032328,           0.0032328,            0.013033
                 129,            0.033924,            0.056759,            0.021163,                   0,                   0,                   0,                   0,                   0,            0.030389,                   0,           0.0031999,           0.0031999,              0.0123
                 130,            0.036359,            0.049229,            0.020132,                   0,                   0,                   0,                   0,                   0,            0.025355,                   0,           0.0031667,           0.0031667,            0.011567
                 131,            0.037461,            0.052225,            0.018007,                   0,                   0,                   0,                   0,                   0,             0.02277,                   0,            0.003133,            0.003133,            0.010833
                 132,            0.038869,            0.052658,            0.019286,                   0,                   0,                   0,                   0,                   0,            0.021879,                   0,           0.0030989,           0.0030989,            0.010099
                 133,            0.033827,            0.057586,            0.019201,                   0,                   0,                   0,                   0,                   0,            0.031952,                   0,           0.0030644,           0.0030644,           0.0093644
                 134,            0.032543,            0.047296,             0.01787,                   0,                   0,                   0,                   0,                   0,            0.033645,                   0,           0.0030296,           0.0030296,           0.0086296
                 135,            0.039201,             0.05004,             0.01823,                   0,                   0,                   0,                   0,                   0,            0.023466,                   0,           0.0029945,           0.0029945,           0.0078945
                 136,            0.032654,            0.047155,            0.018483,                   0,                   0,                   0,                   0,                   0,            0.022029,                   0,           0.0029591,           0.0029591,           0.0071591
                 137,            0.029749,            0.047174,            0.017638,                   0,                   0,                   0,                   0,                   0,            0.025353,                   0,           0.0029234,           0.0029234,           0.0064234
                 138,            0.031915,            0.047786,            0.019056,                   0,                   0,                   0,                   0,                   0,            0.030625,                   0,           0.0028874,           0.0028874,           0.0056874
                 139,            0.032627,            0.046971,            0.019395,                   0,                   0,                   0,                   0,                   0,            0.028629,                   0,           0.0028513,           0.0028513,           0.0049513
                 140,            0.032275,            0.048701,             0.01958,                   0,                   0,                   0,                   0,                   0,            0.030986,                   0,            0.002815,            0.002815,            0.004215
                 141,             0.02928,             0.04537,            0.017458,                   0,                   0,                   0,                   0,                   0,            0.031659,                   0,           0.0027785,           0.0027785,           0.0034785
                 142,            0.030676,            0.045946,             0.01795,                   0,                   0,                   0,                   0,                   0,            0.031571,                   0,           0.0027419,           0.0027419,           0.0027419
                 143,            0.033856,            0.045769,            0.016872,                   0,                   0,                   0,                   0,                   0,            0.025319,                   0,           0.0027419,           0.0027419,           0.0027419
                 144,            0.031486,            0.049862,            0.017911,                   0,                   0,                   0,                   0,                   0,            0.024128,                   0,           0.0026864,           0.0026864,           0.0026864
                 145,             0.02894,            0.045731,            0.019006,                   0,                   0,                   0,                   0,                   0,            0.026207,                   0,           0.0026316,           0.0026316,           0.0026316
                 146,            0.029003,            0.047706,            0.016307,                   0,                   0,                   0,                   0,                   0,            0.027128,                   0,           0.0025775,           0.0025775,           0.0025775
                 147,            0.032084,            0.045735,            0.016279,                   0,                   0,                   0,                   0,                   0,            0.024754,                   0,           0.0025241,           0.0025241,           0.0025241
                 148,            0.027165,             0.04862,            0.016774,                   0,                   0,                   0,                   0,                   0,            0.024921,                   0,           0.0024714,           0.0024714,           0.0024714
                 149,            0.027326,            0.044111,            0.016997,                   0,                   0,                   0,                   0,                   0,            0.029176,                   0,           0.0024195,           0.0024195,           0.0024195
                 150,            0.029955,            0.049084,            0.016538,                   0,                   0,                   0,                   0,                   0,            0.029726,                   0,           0.0023684,           0.0023684,           0.0023684
                 151,            0.032192,            0.048293,            0.016793,                   0,                   0,                   0,                   0,                   0,            0.023209,                   0,            0.002318,            0.002318,            0.002318
                 152,            0.027768,            0.048301,            0.015414,                   0,                   0,                   0,                   0,                   0,            0.022506,                   0,           0.0022684,           0.0022684,           0.0022684
                 153,            0.025607,            0.046775,             0.01707,                   0,                   0,                   0,                   0,                   0,            0.025737,                   0,           0.0022196,           0.0022196,           0.0022196
                 154,            0.025338,            0.043432,            0.016521,                   0,                   0,                   0,                   0,                   0,            0.027726,                   0,           0.0021717,           0.0021717,           0.0021717
                 155,            0.027701,             0.04412,            0.014337,                   0,                   0,                   0,                   0,                   0,            0.029514,                   0,           0.0021245,           0.0021245,           0.0021245
                 156,            0.029611,            0.042093,            0.016965,                   0,                   0,                   0,                   0,                   0,            0.026457,                   0,           0.0020782,           0.0020782,           0.0020782
                 157,            0.025608,            0.041894,            0.015578,                   0,                   0,                   0,                   0,                   0,            0.025688,                   0,           0.0020327,           0.0020327,           0.0020327
                 158,            0.024855,            0.045114,              0.0157,                   0,                   0,                   0,                   0,                   0,            0.026568,                   0,           0.0019881,           0.0019881,           0.0019881
                 159,            0.025652,            0.046873,             0.01659,                   0,                   0,                   0,                   0,                   0,            0.029148,                   0,           0.0019443,           0.0019443,           0.0019443
                 160,            0.027712,            0.046299,            0.015805,                   0,                   0,                   0,                   0,                   0,            0.031811,                   0,           0.0019014,           0.0019014,           0.0019014
                 161,            0.023728,            0.043271,            0.015274,                   0,                   0,                   0,                   0,                   0,            0.030507,                   0,           0.0018594,           0.0018594,           0.0018594
                 162,            0.023698,             0.03978,            0.014751,                   0,                   0,                   0,                   0,                   0,            0.029617,                   0,           0.0018183,           0.0018183,           0.0018183
                 163,            0.027859,            0.047187,            0.015182,                   0,                   0,                   0,                   0,                   0,            0.028601,                   0,           0.0017781,           0.0017781,           0.0017781
                 164,            0.025109,            0.046317,            0.014054,                   0,                   0,                   0,                   0,                   0,            0.029681,                   0,           0.0017389,           0.0017389,           0.0017389
                 165,            0.023436,            0.042781,             0.01422,                   0,                   0,                   0,                   0,                   0,            0.031022,                   0,           0.0017005,           0.0017005,           0.0017005
                 166,            0.024642,            0.049107,            0.013827,                   0,                   0,                   0,                   0,                   0,            0.031419,                   0,           0.0016631,           0.0016631,           0.0016631
                 167,            0.027645,            0.045926,            0.014417,                   0,                   0,                   0,                   0,                   0,            0.031075,                   0,           0.0016267,           0.0016267,           0.0016267
                 168,            0.026515,            0.044525,            0.014539,                   0,                   0,                   0,                   0,                   0,            0.029188,                   0,           0.0015912,           0.0015912,           0.0015912
                 169,            0.022395,            0.044077,            0.014042,                   0,                   0,                   0,                   0,                   0,            0.029313,                   0,           0.0015566,           0.0015566,           0.0015566
                 170,            0.021957,            0.045851,            0.015303,                   0,                   0,                   0,                   0,                   0,            0.030231,                   0,           0.0015231,           0.0015231,           0.0015231
                 171,            0.025619,            0.041657,            0.012718,                   0,                   0,                   0,                   0,                   0,            0.028361,                   0,           0.0014905,           0.0014905,           0.0014905
                 172,            0.026072,            0.043643,            0.013436,                   0,                   0,                   0,                   0,                   0,             0.02339,                   0,           0.0014589,           0.0014589,           0.0014589
                 173,            0.022764,            0.042199,            0.014593,                   0,                   0,                   0,                   0,                   0,            0.022439,                   0,           0.0014283,           0.0014283,           0.0014283
                 174,            0.023954,            0.050598,            0.015109,                   0,                   0,                   0,                   0,                   0,            0.024362,                   0,           0.0013987,           0.0013987,           0.0013987
                 175,            0.024011,            0.043532,            0.014279,                   0,                   0,                   0,                   0,                   0,            0.029937,                   0,           0.0013701,           0.0013701,           0.0013701
                 176,            0.022663,            0.043127,            0.014127,                   0,                   0,                   0,                   0,                   0,            0.035636,                   0,           0.0013425,           0.0013425,           0.0013425
                 177,            0.021991,            0.041149,            0.013863,                   0,                   0,                   0,                   0,                   0,            0.035561,                   0,            0.001316,            0.001316,            0.001316
                 178,            0.022355,            0.041227,            0.012894,                   0,                   0,                   0,                   0,                   0,            0.034831,                   0,           0.0012905,           0.0012905,           0.0012905
                 179,            0.023028,            0.044088,            0.014215,                   0,                   0,                   0,                   0,                   0,            0.032892,                   0,            0.001266,            0.001266,            0.001266
